Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2024,3222.932062383592,148.61385215856075,74.56578391516089,0.0,6994.625047183294,N.S.
2020,4.406128610736437,-0.8535596996855466,-0.887267256464197,0.0,7.929160029067228,N.S.
2021,0.4754852449970981,141.05111007917722,1.8599463084689072,40.08179538429082,6.801926104167388,N.S.
2022,11.751134788961329,37.13885863957056,9.45175045770812,-74.83312473324284,7.569849593131428,N.S.
2023,17.273323004186004,-15.735096507349866,12.172495218428312,0.0,8.523236407890899,N.S.
2024,8.940400071430666,-29.372760872139946,9.294351443847582,0.0,5.522375043274819,N.S.
2024,0.0,0.0,0.0,0.0,0.0,N.S.
2020,1536.8687163425,161.34972038249998,21.5281716475,124.00831925999998,3655.409127031957,N.B.
2021,1662.5708612825,174.99241986500002,24.117414587500004,239.496850375,3954.8985715906297,N.B.
2022,1917.242389499451,256.436604,27.857418521856168,66.458982055,4298.789359735808,N.B.
2023,2069.808739498264,296.5887318990252,30.77581443308585,0.0,4608.338692769609,N.B.
2024,2090.044824905745,267.8599104736779,35.85758940443348,0.0,4738.170649814222,N.B.
2020,-0.9413875843305552,1.8200287532046169,35.28735781706358,0.0,4.000913907080128,N.B.
2021,8.179107532304442,8.45535985445669,12.027231027306897,93.12966404525078,8.193048552183434,N.B.
2022,15.317935262049431,46.5415497413151,15.507482863833166,-72.25058202187641,8.695312456695149,N.B.
2023,7.957593199190871,15.657720962107756,10.476189345900778,0.0,7.200849056089265,N.B.
2024,0.9776790010262548,-9.686417026499894,16.51223554910839,0.0,2.817326713601087,N.B.
2024,0.0,0.0,0.0,0.0,0.0,N.B.
2020,42.04368547906906,4.413998947185137,0.5889401404701311,3.3924607328616503,100.0,N.B.
2021,42.03826801590583,4.42470057568681,0.6098112037750735,6.055701455794256,100.0,N.B.
2022,44.59958907168412,5.965321455428556,0.6480293913160753,1.5459929876416276,100.0,N.B.
2023,44.91442312488343,6.435914364635719,0.6678288312743264,0.0,100.0,N.B.
2024,44.1107967478481,5.653234766548149,0.7567812992518413,0.0,100.0,N.B.
2020,-4.752171212482226,-2.0969865282376654,30.08285478908041,0.0,0.0,N.B.
2021,-0.0128853194040989,0.2424474638467622,3.543834401961754,78.50468826756547,0.0,N.B.
2022,6.092832023453432,34.81864712399456,6.267216362115002,-74.47045567012918,0.0,N.B.
2023,0.7059124529001259,7.888810564917925,3.055330548825985,0.0,0.0,N.B.
2024,-1.7892390041409745,-12.161125113601024,13.319650756583725,0.0,0.0,N.B.
2024,0.0,0.0,0.0,0.0,0.0,N.B.
2020,1961.712971058752,205.95242520410196,27.479311092092228,158.28855505008727,4665.892032789006,N.B.
2021,2102.3857568424205,221.28474620069247,30.497412231506758,302.85311667775244,5001.12363346404,N.B.
2022,2368.228968412105,316.7573372465315,34.41022683932192,82.09190834494449,5309.979346683426,N.B.
2023,2479.7305104502907,355.327578587795,36.87090723763147,0.0,5521.011599226072,N.B.
2024,2470.236804957545,316.5852720190114,42.38030497163231,0.0,5600.072968707041,N.B.
2020,-1.7057287295132006,1.034380383195321,34.24347388328992,0.0,3.1984377195255043,N.B.
2021,7.170915819950285,7.44459356640057,10.983176140405693,91.32976264892972,7.1847269143656245,N.B.
2022,12.644835073890317,43.14467792517922,12.82998891221614,-72.8938208576227,6.175726413815075,N.B.
2023,4.708224733563116,12.17658971266209,7.151014754420726,0.0,3.9742575020457416,N.B.
2024,-0.3828523080526835,-10.903264734687934,14.942398076871278,0.0,1.4320087552804894,N.B.
2024,0.0,0.0,0.0,0.0,0.0,N.B.
2020,14400.243625019611,989.5566524819556,308.93001796310983,7462.176091959774,47041.2521416555,Que.
2021,15257.554508258268,1064.7428484491036,375.3507268447959,8414.827944747414,51130.27317627256,Que.
2022,17587.11248989518,1595.2325964951613,462.6906941142581,2001.4443935869408,51135.37835277642,Que.
2023,18339.908900092563,1990.751064466724,593.6538977481612,0.0,52468.01151639679,Que.
2024,18745.11659291439,2110.9079596254296,627.701370748691,0.0,54267.75234935056,Que.
2020,3.903377606311298,11.067170819967176,8.70469995485954,0.0,21.24266605588263,Que.
2021,5.953447077444762,7.5979678150381424,21.500244398269363,12.766408096615269,8.69241537683514,Que.
2022,15.268226506259698,49.823274119076274,23.268895202000373,-76.21526658977913,0.0099846454687524,Que.
2023,4.2803866219079945,24.79378047066896,28.30469799800266,0.0,2.6060884001418705,Que.
2024,2.209431328308198,6.035756921264945,5.73523952755608,0.0,3.4301677935542507,Que.
2024,0.0,0.0,0.0,0.0,0.0,Que.
2020,30.61194795932749,2.10359335143142,0.6567215027202671,15.863047330221768,100.0,Que.
2021,29.84054956181745,2.0824118126229894,0.7341066329741038,16.45762367773225,100.0,Que.
2022,34.39323821672726,3.119626074710656,0.9048347915257696,3.914011117272337,100.0,Que.
2023,34.9544577163195,3.794218623750576,1.1314587318839753,0.0,100.0,Que.
2024,34.54190708368028,3.8898017114038295,1.1566747167043911,0.0,100.0,Que.
2020,-14.30130911306371,-8.392668659418456,-10.341216098996163,0.0,0.0,Que.
2021,-2.519925875135276,-1.006921741505662,11.78355359666048,3.748184917646413,0.0,Que.
2022,15.256718531535409,49.80831628981204,23.256588468624884,-76.217641173992,0.0,Que.
2023,1.6317727806138604,21.624147666559317,25.04589152413812,0.0,0.0,Que.
2024,-1.18025184652375,2.5191771252962125,2.228626118641474,0.0,0.0,Que.
2024,0.0,0.0,0.0,0.0,0.0,Que.
2020,1684.0233473045982,115.72279953408956,36.12753898338281,872.6573721797939,5501.196296106581,Que.
2021,1779.925211123897,124.21142839716934,43.78789676701592,981.6621921959368,5964.78696693108,Que.
2022,2027.99092615012,183.9481741331811,53.3534160207904,230.78894114769705,5896.481492585366,Que.
